30
avg2011
max2011
min2011
avg2012
max2012
min2012
avg2013
max2013
min2013
avg2014
max2014
min2014
avg2015
max2015
min2015
avg2016
max2016
min2016
avg2017
max2017
min2017
avg2018
max2018
min2018
avg2019
max2019
min2019
avg2020
max2020
min2020
time = no
28672
33.57908219178082	524.2	3.466	61.10382513661202	668.6	12.06	21.58041150684932	176.0	0.9762	54.03832054794521	881.8	6.984	40.58617260273972	696.6	5.915	60.12816120218579	662.8	8.204	47.94156164383562	399.5	10.78	49.338873972602734	613.2	9.121	19.42448493150685	230.6	2.438	23.437524657534247	586.2	0.7389
31.023890410958906	153.4	11.02	57.023415300546446	219.5	26.0	26.867832876712328	89.31	5.267	44.79605479452054	256.6	10.92	44.87986301369863	275.6	13.76	51.81398907103824	242.7	17.12	51.36454794520548	145.5	18.77	48.99586301369863	228.0	18.31	19.080915068493148	76.22	4.759	19.473375342465754	160.3	4.983
29.743178082191783	219.8	12.15	48.68786885245901	491.3	18.72	24.39108493150685	95.61	8.376	37.08124383561644	385.2	9.814	35.47375342465754	377.8	14.27	45.0701912568306	442.0	12.23	40.82353424657534	196.0	19.28	41.9812602739726	444.4	16.99	18.569534246575344	84.03	7.376	17.194972602739725	321.2	3.694
32.10501369863014	173.8	11.42	55.29857923497268	230.4	27.7	23.817205479452056	75.63	5.416	47.25802739726028	215.9	14.04	40.07624657534247	236.6	15.41	49.95180327868852	330.0	13.74	48.68750684931506	144.0	17.18	46.84742465753425	257.0	17.78	19.38296438356165	75.23	6.34	20.73606849315069	185.4	2.579
42.327164383561644	654.4	8.797	72.07213114754099	810.0	17.37	30.37288493150685	223.2	7.004	63.388136986301376	1171.0	11.94	50.36101369863014	866.1	10.63	72.89368852459016	682.6	10.76	58.96021917808219	546.6	17.27	61.90802739726028	718.0	12.74	26.208452054794524	257.1	6.657	28.18746301369863	741.2	3.192
35.69591780821918	131.4	15.71	54.37661202185792	151.4	24.9	29.382767123287667	79.01	10.5	42.23293150684932	157.2	18.18	41.2373698630137	189.0	18.65	47.97710382513661	250.1	17.56	50.10350684931507	125.8	27.52	48.29597260273973	193.7	21.85	23.094684931506848	70.63	10.02	20.256446575342466	126.1	5.93
36.08744383561644	550.1	7.887	67.97598360655738	829.2	15.5	26.7476794520548	202.5	5.109	56.97482191780822	1045.0	11.25	46.94230136986301	816.3	11.7	66.58704918032787	694.8	10.13	55.37934246575343	458.3	15.53	55.99632876712329	670.5	13.5	20.764608219178083	218.3	5.315	23.667246575342467	666.6	1.307
54.13791780821918	488.4	16.43	81.32497267759562	441.0	31.02	39.83476712328767	197.7	10.81	70.04402739726028	627.2	17.08	59.543726027397256	614.9	19.14	76.5274043715847	532.3	17.92	72.39854794520548	436.6	24.38	72.49860273972604	676.4	23.63	36.276512328767126	308.6	9.825	35.79288767123288	569.5	7.704
28.368323287671235	241.3	7.163	55.87265027322404	519.4	17.77	25.01371506849315	119.5	4.156	41.99717808219178	445.9	10.81	42.42783561643836	450.7	12.08	53.227076502732245	488.9	11.47	47.16093150684932	201.4	16.99	48.04246575342466	493.7	14.26	17.917109589041097	105.5	4.899	17.440873972602738	326.8	1.575
26.46369315068493	230.6	7.582	49.48292349726776	386.0	17.64	22.307915068493152	106.2	5.642	37.80668493150685	469.2	10.01	36.48578082191781	393.9	11.37	44.7920218579235	320.3	10.17	40.91265753424658	231.0	15.66	42.4912602739726	335.7	14.73	17.79204383561644	81.06	5.749	16.90841095890411	316.8	1.243
30.544849315068497	298.6	10.85	56.0564480874317	538.0	19.07	24.82328219178082	143.3	6.687	44.470684931506845	623.2	11.4	40.04323287671233	477.7	12.72	53.48472677595628	543.3	13.38	45.96512328767123	215.5	19.5	48.489452054794526	473.6	16.45	20.624994520547943	132.4	6.819	20.989364383561647	298.9	4.259
35.059205479452054	188.2	14.83	56.51786885245902	224.5	26.96	28.946421917808216	87.31	8.965	42.10797260273973	205.1	12.68	41.019780821917806	266.4	14.41	48.87524590163935	269.2	13.66	47.700958904109584	188.3	19.41	45.275780821917806	221.9	16.16	20.19035616438356	81.0	7.425	18.778506849315068	267.8	4.059
