Simulation,Risk_Percentage
sim509,0.0
sim510,0.0
sim511,0.0
sim512,66.66666666666666
sim513,0.0
sim514,44.44444444444444
sim515,0.0
sim516,44.44444444444444
sim517,0.0
sim518,0.0
sim519,0.0
sim520,0.0
sim521,0.0
sim522,0.0
sim523,0.0
sim524,22.22222222222222
sim525,0.0
sim526,0.0
sim527,77.77777777777779
sim528,0.0
sim529,77.77777777777779
sim530,55.55555555555556
sim531,0.0
sim532,0.0
sim533,0.0
sim534,55.55555555555556
sim535,0.0
sim536,0.0
sim537,55.55555555555556
sim538,0.0
sim539,0.0
sim540,0.0
sim541,0.0
sim542,0.0
sim543,100.0
sim544,88.88888888888889
sim545,0.0
sim546,0.0
sim547,44.44444444444444
sim548,0.0
sim549,11.11111111111111
sim550,0.0
sim551,0.0
sim552,77.77777777777779
sim553,22.22222222222222
sim554,0.0
sim555,0.0
sim556,0.0
sim557,0.0
sim558,100.0
sim559,0.0
sim560,0.0
sim561,0.0
sim562,0.0
sim563,77.77777777777779
sim564,0.0
sim565,66.66666666666666
sim566,0.0
sim567,0.0
sim568,0.0
sim569,0.0
sim570,0.0
sim571,44.44444444444444
sim572,0.0
sim573,22.22222222222222
sim574,33.33333333333333
sim575,0.0
sim576,0.0
sim577,77.77777777777779
sim578,11.11111111111111
sim579,0.0
sim580,0.0
sim581,0.0
sim582,11.11111111111111
sim583,0.0
sim584,0.0
sim585,0.0
sim586,66.66666666666666
sim587,0.0
sim588,77.77777777777779
sim589,0.0
sim590,0.0
sim591,0.0
sim592,0.0
sim593,77.77777777777779
sim594,44.44444444444444
sim595,0.0
sim596,0.0
sim597,44.44444444444444
sim598,0.0
sim599,77.77777777777779
sim600,0.0
sim601,0.0
sim602,0.0
sim603,0.0
sim604,100.0
sim605,0.0
sim606,0.0
sim607,11.11111111111111
sim608,44.44444444444444
sim609,0.0
sim610,0.0
sim611,33.33333333333333
sim612,0.0
sim613,0.0
sim614,44.44444444444444
sim615,0.0
sim616,0.0
sim617,0.0
sim618,0.0
sim619,44.44444444444444
sim620,0.0
sim621,88.88888888888889
sim622,0.0
sim623,0.0
sim624,100.0
sim625,0.0
sim626,0.0
sim627,77.77777777777779
sim628,0.0
sim629,0.0
sim630,33.33333333333333
sim631,0.0
sim632,0.0
sim633,0.0
sim634,0.0
sim635,0.0
sim636,0.0
sim637,11.11111111111111
sim638,0.0
sim639,0.0
sim640,0.0
sim641,0.0
sim642,11.11111111111111
sim643,11.11111111111111
sim644,0.0
sim645,100.0
sim646,44.44444444444444
sim647,0.0
sim648,77.77777777777779
sim649,0.0
sim650,0.0
sim651,0.0
sim652,0.0
sim653,0.0
sim654,44.44444444444444
sim655,0.0
sim656,0.0
sim657,22.22222222222222
sim658,0.0
sim659,44.44444444444444
sim660,0.0
sim661,22.22222222222222
sim662,0.0
sim663,0.0
sim664,88.88888888888889
sim665,0.0
sim666,0.0
sim667,33.33333333333333
sim668,0.0
sim669,0.0
sim670,33.33333333333333
sim671,0.0
sim672,0.0
sim673,0.0
sim674,77.77777777777779
sim675,0.0
sim676,33.33333333333333
sim677,0.0
sim678,0.0
sim679,66.66666666666666
sim680,0.0
sim681,100.0
sim682,0.0
sim683,0.0
sim684,0.0
sim685,0.0
sim686,0.0
sim687,33.33333333333333
sim688,0.0
sim689,0.0
sim690,0.0
sim691,0.0
sim692,100.0
sim693,0.0
sim694,0.0
sim695,22.22222222222222
sim696,0.0
sim697,55.55555555555556
sim698,11.11111111111111
sim699,0.0
sim700,33.33333333333333
sim701,0.0
sim702,0.0
sim703,55.55555555555556
sim704,55.55555555555556
sim705,77.77777777777779
sim706,0.0
sim707,0.0
sim708,0.0
sim709,0.0
sim710,55.55555555555556
sim711,0.0
sim712,11.11111111111111
sim713,0.0
sim714,0.0
sim715,77.77777777777779
sim716,0.0
sim717,11.11111111111111
sim718,0.0
sim719,0.0
sim720,0.0
sim721,0.0
sim722,55.55555555555556
sim723,0.0
sim724,0.0
sim725,55.55555555555556
sim726,66.66666666666666
sim727,0.0
sim728,0.0
sim729,0.0
sim730,0.0
sim731,88.88888888888889
sim732,11.11111111111111
sim733,55.55555555555556
sim734,22.22222222222222
sim735,0.0
sim736,0.0
sim737,0.0
sim738,0.0
sim739,44.44444444444444
sim740,88.88888888888889
sim741,0.0
sim742,0.0
sim743,88.88888888888889
sim744,0.0
sim745,0.0
sim746,88.88888888888889
sim747,0.0
sim748,44.44444444444444
sim749,0.0
sim750,0.0
sim751,11.11111111111111
sim752,0.0
sim753,44.44444444444444
sim754,0.0
sim755,0.0
sim756,0.0
sim757,0.0
sim758,0.0
sim759,88.88888888888889
sim760,0.0
sim761,22.22222222222222
sim762,55.55555555555556
sim763,0.0
sim764,0.0
sim765,0.0
sim766,0.0
sim767,0.0
sim768,66.66666666666666
sim769,0.0
sim770,44.44444444444444
sim771,0.0
sim772,44.44444444444444
sim773,0.0
sim774,0.0
sim775,0.0
sim776,0.0
sim777,0.0
sim778,0.0
sim779,0.0
sim780,22.22222222222222
sim781,0.0
sim782,0.0
sim783,77.77777777777779
sim784,0.0
sim785,77.77777777777779
sim786,55.55555555555556
sim787,0.0
sim788,0.0
sim789,0.0
sim790,55.55555555555556
sim791,0.0
sim792,0.0
sim793,55.55555555555556
sim794,0.0
sim795,0.0
sim796,0.0
sim797,0.0
sim798,0.0
sim799,100.0
sim800,88.88888888888889
sim801,0.0
sim802,0.0
sim803,44.44444444444444
sim804,0.0
sim805,11.11111111111111
sim806,0.0
sim807,0.0
sim808,77.77777777777779
sim809,22.22222222222222
sim810,0.0
sim811,0.0
sim812,0.0
sim813,0.0
sim814,100.0
sim815,0.0
sim816,0.0
sim817,0.0
sim818,0.0
sim819,77.77777777777779
sim820,0.0
sim821,66.66666666666666
sim822,0.0
sim823,0.0
sim824,0.0
sim825,0.0
sim826,0.0
sim827,44.44444444444444
sim828,0.0
sim829,22.22222222222222
sim830,33.33333333333333
sim831,0.0
sim832,0.0
sim833,77.77777777777779
sim834,11.11111111111111
sim835,0.0
sim836,0.0
sim837,0.0
sim838,11.11111111111111
sim839,0.0
sim840,0.0
sim841,0.0
sim842,66.66666666666666
sim843,0.0
sim844,77.77777777777779
sim845,0.0
sim846,0.0
sim847,0.0
sim848,0.0
sim849,77.77777777777779
sim850,44.44444444444444
sim851,0.0
sim852,0.0
sim853,44.44444444444444
sim854,0.0
sim855,77.77777777777779
sim856,0.0
sim857,0.0
sim858,0.0
sim859,0.0
sim860,100.0
sim861,0.0
sim862,0.0
sim863,11.11111111111111
sim864,44.44444444444444
sim865,0.0
sim866,0.0
sim867,33.33333333333333
sim868,0.0
sim869,0.0
sim870,44.44444444444444
sim871,0.0
sim872,0.0
sim873,0.0
sim874,0.0
sim875,44.44444444444444
sim876,0.0
sim877,88.88888888888889
sim878,0.0
sim879,0.0
sim880,100.0
sim881,0.0
sim882,0.0
sim883,77.77777777777779
sim884,0.0
sim885,0.0
sim886,33.33333333333333
sim887,0.0
sim888,0.0
sim889,0.0
sim890,0.0
sim891,0.0
sim892,0.0
sim893,11.11111111111111
sim894,0.0
sim895,0.0
sim896,0.0
sim897,0.0
sim898,11.11111111111111
sim899,11.11111111111111
sim900,0.0
sim901,100.0
sim902,44.44444444444444
sim903,0.0
sim904,77.77777777777779
sim905,0.0
sim906,0.0
sim907,0.0
sim908,0.0
sim909,0.0
sim910,44.44444444444444
sim911,0.0
