Year,Type,Method,Group,Count,ParNums,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
2020,avg,Quantile70_Group,High importance & Low interaction,7,7,8,1,3,4,10,17,,,,,,,,,,,,,,,,,,,,
2011,max,Quantile70_Group,High importance & High interaction,27,5,5,10,10,10,13,13,13,2,5,7,8,10,10,12,17,13,13,2,5,7,8,10,14,12,17,13
2011,max,Quantile70_Group,High importance & Low interaction,4,1,3,4,14,,,,,,,,,,,,,,,,,,,,,,,
2012,max,Quantile70_Group,High importance & High interaction,22,5,10,10,10,10,13,13,2,5,8,10,10,13,1,5,7,8,10,14,12,17,13,,,,,
2012,max,Quantile70_Group,High importance & Low interaction,7,5,1,12,17,3,2,4,,,,,,,,,,,,,,,,,,,,
2013,max,Quantile70_Group,High importance & High interaction,25,5,5,5,8,10,10,10,10,12,12,12,17,13,13,3,5,10,13,3,2,4,8,10,12,13,,
2013,max,Quantile70_Group,High importance & Low interaction,5,13,2,8,12,7,,,,,,,,,,,,,,,,,,,,,,
2014,max,Quantile70_Group,High importance & High interaction,27,5,5,10,10,13,13,7,8,8,10,10,14,12,17,13,1,3,2,4,5,7,8,10,14,12,17,13
2014,max,Quantile70_Group,High importance & Low interaction,2,13,5,,,,,,,,,,,,,,,,,,,,,,,,,
2015,max,Quantile70_Group,High importance & High interaction,25,5,5,5,7,10,10,10,10,12,17,13,13,13,7,8,10,13,5,7,8,10,14,12,17,13,,
2015,max,Quantile70_Group,High importance & Low interaction,4,8,17,5,12,,,,,,,,,,,,,,,,,,,,,,,
2016,max,Quantile70_Group,High importance & High interaction,23,5,10,10,10,13,2,5,7,8,10,17,13,1,3,2,5,7,8,10,14,12,17,13,,,,
2016,max,Quantile70_Group,High importance & Low interaction,5,1,3,4,12,4,,,,,,,,,,,,,,,,,,,,,,
2017,max,Quantile70_Group,High importance & High interaction,23,5,5,10,10,10,10,17,13,13,10,12,13,1,3,2,5,7,8,10,14,12,17,13,,,,
2017,max,Quantile70_Group,High importance & Low interaction,6,8,12,13,5,8,4,,,,,,,,,,,,,,,,,,,,,
2018,max,Quantile70_Group,High importance & High interaction,24,5,5,10,10,10,12,12,17,13,13,8,10,10,12,13,2,5,7,8,10,14,12,17,13,,,
2018,max,Quantile70_Group,High importance & Low interaction,4,12,1,2,5,,,,,,,,,,,,,,,,,,,,,,,
2019,max,Quantile70_Group,High importance & High interaction,26,5,5,10,10,10,13,13,13,2,8,10,10,12,17,13,13,2,4,5,7,8,10,14,12,17,13,
2019,max,Quantile70_Group,High importance & Low interaction,5,12,13,1,3,5,,,,,,,,,,,,,,,,,,,,,,
2020,max,Quantile70_Group,High importance & High interaction,25,5,5,10,10,13,2,5,7,8,10,10,12,17,17,13,13,2,5,7,8,10,14,12,17,13,,
2020,max,Quantile70_Group,High importance & Low interaction,3,10,13,14,,,,,,,,,,,,,,,,,,,,,,,,
