Year,Type,Method,Group,Count,ParNums,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,min,Quantile70_Group,High importance & Low interaction,6,par83,par89,par173,par178,par187,par220,,,,,,,,,,,,,,,,,,,,,
2013,min,Quantile70_Group,High importance & High interaction,25,par74,par77,par83,par86,par89,par92,par95,par98,par104,par106,par107,par110,par113,par116,par119,par172,par178,par181,par193,par215,par218,par219,par220,par221,par225,,
2013,min,Quantile70_Group,High importance & Low interaction,4,par101,par187,par190,par224,,,,,,,,,,,,,,,,,,,,,,,
2014,min,Quantile70_Group,High importance & High interaction,24,par74,par77,par84,par86,par89,par92,par95,par106,par107,par110,par116,par118,par119,par157,par163,par181,par193,par214,par215,par216,par218,par219,par221,par225,,,
2014,min,Quantile70_Group,High importance & Low interaction,6,par83,par98,par104,par172,par178,par187,,,,,,,,,,,,,,,,,,,,,
2015,min,Quantile70_Group,High importance & High interaction,26,par74,par77,par83,par84,par86,par89,par90,par92,par95,par102,par107,par113,par116,par118,par119,par172,par178,par181,par193,par215,par216,par218,par219,par220,par221,par225,
2015,min,Quantile70_Group,High importance & Low interaction,4,par163,par175,par187,par224,,,,,,,,,,,,,,,,,,,,,,,
2016,min,Quantile70_Group,High importance & High interaction,24,par74,par77,par83,par86,par89,par90,par92,par95,par107,par113,par116,par118,par119,par172,par178,par181,par193,par215,par218,par219,par220,par221,par224,par225,,,
2016,min,Quantile70_Group,High importance & Low interaction,4,par163,par187,par190,par223,,,,,,,,,,,,,,,,,,,,,,,
2017,min,Quantile70_Group,High importance & High interaction,24,par72,par77,par86,par90,par92,par94,par95,par102,par106,par107,par110,par112,par116,par118,par119,par178,par181,par193,par218,par219,par220,par221,par224,par225,,,
2017,min,Quantile70_Group,High importance & Low interaction,5,par89,par113,par172,par175,par187,,,,,,,,,,,,,,,,,,,,,,
2018,min,Quantile70_Group,High importance & High interaction,24,par72,par77,par83,par89,par92,par95,par107,par113,par114,par116,par118,par119,par172,par178,par181,par193,par215,par216,par218,par219,par220,par221,par224,par225,,,
2018,min,Quantile70_Group,High importance & Low interaction,6,par47,par101,par163,par175,par187,par190,,,,,,,,,,,,,,,,,,,,,
2019,min,Quantile70_Group,High importance & High interaction,24,par74,par77,par83,par86,par89,par92,par95,par104,par107,par110,par114,par116,par119,par172,par178,par181,par193,par214,par215,par218,par219,par220,par221,par225,,,
2019,min,Quantile70_Group,High importance & Low interaction,4,par101,par113,par163,par187,,,,,,,,,,,,,,,,,,,,,,,
2020,min,Quantile70_Group,High importance & High interaction,25,par74,par77,par83,par86,par89,par92,par95,par104,par107,par113,par116,par119,par172,par178,par181,par182,par190,par193,par215,par218,par219,par220,par221,par224,par225,,
2020,min,Quantile70_Group,High importance & Low interaction,4,par98,par101,par163,par187,,,,,,,,,,,,,,,,,,,,,,,
