Year,Type,Method,Group,Count,ParNums
2014,avg,Cluster,0,90,"par42,par43,par44,par45,par46,par47,par56,par57,par58,par59,par60,par62,par63,par64,par65,par72,par74,par75,par76,par78,par80,par81,par82,par83,par84,par86,par87,par88,par89,par94,par96,par98,par99,par100,par101,par102,par104,par106,par107,par108,par110,par111,par112,par113,par114,par116,par117,par118,par157,par158,par159,par160,par161,par162,par164,par165,par166,par167,par168,par169,par170,par171,par173,par174,par175,par176,par177,par178,par179,par180,par182,par183,par184,par185,par186,par187,par188,par189,par190,par191,par192,par194,par195,par213,par214,par216,par217,par222,par223,par229"
2014,avg,Cluster,1,2,"par221,par225"
2014,avg,Cluster,2,14,"par77,par90,par92,par95,par119,par163,par172,par181,par193,par215,par218,par219,par220,par224"
2015,avg,Quadrant_Group,High importance & High interaction,52,"par47,par72,par74,par76,par77,par78,par80,par82,par83,par84,par86,par89,par90,par92,par94,par95,par96,par100,par101,par102,par104,par106,par107,par110,par112,par113,par114,par116,par118,par119,par160,par163,par166,par172,par175,par178,par181,par182,par187,par190,par193,par213,par214,par215,par216,par218,par219,par220,par221,par223,par224,par225"
2015,avg,Quadrant_Group,High importance & Low interaction,2,"par157,par184"
2015,avg,Quadrant_Group,Low importance & High interaction,2,"par88,par217"
2015,avg,Quadrant_Group,Low importance & Low interaction,51,"par42,par43,par44,par45,par46,par56,par57,par58,par59,par60,par62,par63,par64,par65,par75,par81,par87,par98,par99,par108,par109,par111,par117,par158,par159,par161,par162,par164,par165,par167,par168,par169,par170,par171,par173,par174,par176,par177,par179,par180,par183,par185,par186,par188,par189,par191,par192,par194,par195,par222,par229"
2015,avg,Quantile70_Group,High importance & High interaction,25,"par72,par74,par77,par83,par89,par90,par94,par95,par102,par106,par107,par112,par113,par116,par118,par119,par175,par178,par181,par193,par218,par219,par220,par221,par225"
2015,avg,Quantile70_Group,High importance & Low interaction,7,"par92,par157,par160,par163,par166,par172,par187"
2015,avg,Quantile70_Group,Low importance & High interaction,7,"par78,par82,par84,par100,par114,par215,par223"
2015,avg,Quantile70_Group,Low importance & Low interaction,68,"par42,par43,par44,par45,par46,par47,par56,par57,par58,par59,par60,par62,par63,par64,par65,par75,par76,par80,par81,par86,par87,par88,par96,par98,par99,par101,par104,par108,par109,par110,par111,par117,par158,par159,par161,par162,par164,par165,par167,par168,par169,par170,par171,par173,par174,par176,par177,par179,par180,par182,par183,par184,par185,par186,par188,par189,par190,par191,par192,par194,par195,par213,par214,par216,par217,par222,par224,par229"
2015,avg,Cluster,0,78,"par42,par43,par44,par45,par46,par47,par56,par57,par58,par59,par60,par62,par63,par64,par65,par75,par76,par78,par80,par81,par82,par86,par87,par88,par96,par98,par99,par100,par101,par104,par108,par109,par110,par111,par114,par117,par157,par158,par159,par160,par161,par162,par164,par165,par166,par167,par168,par169,par170,par171,par173,par174,par176,par177,par179,par180,par182,par183,par184,par185,par186,par188,par189,par190,par191,par192,par194,par195,par213,par214,par215,par216,par217,par219,par222,par223,par224,par229"
2015,avg,Cluster,1,9,"par72,par77,par90,par95,par118,par119,par181,par221,par225"
2015,avg,Cluster,2,20,"par74,par83,par84,par89,par92,par94,par102,par106,par107,par112,par113,par116,par163,par172,par175,par178,par187,par193,par218,par220"
2016,avg,Quadrant_Group,High importance & High interaction,48,"par47,par72,par74,par77,par82,par83,par84,par86,par89,par90,par92,par94,par95,par96,par101,par102,par106,par107,par110,par112,par113,par114,par118,par119,par157,par160,par163,par172,par175,par178,par181,par184,par187,par190,par193,par213,par214,par215,par216,par217,par218,par219,par220,par221,par222,par223,par224,par225"
2016,avg,Quadrant_Group,High importance & Low interaction,5,"par116,par164,par166,par169,par182"
2016,avg,Quadrant_Group,Low importance & High interaction,5,"par78,par80,par88,par100,par108"
2016,avg,Quadrant_Group,Low importance & Low interaction,48,"par42,par43,par44,par45,par46,par56,par57,par58,par59,par60,par62,par63,par64,par65,par75,par76,par81,par87,par98,par99,par104,par111,par117,par158,par159,par161,par162,par165,par167,par168,par170,par171,par173,par174,par176,par177,par179,par180,par183,par185,par186,par188,par189,par191,par192,par194,par195,par229"
2016,avg,Quantile70_Group,High importance & High interaction,24,"par72,par77,par83,par89,par90,par92,par94,par95,par107,par112,par118,par119,par163,par172,par181,par193,par215,par218,par219,par220,par221,par223,par224,par225"
2016,avg,Quantile70_Group,High importance & Low interaction,8,"par113,par157,par160,par166,par175,par178,par187,par190"
2016,avg,Quantile70_Group,Low importance & High interaction,8,"par74,par82,par84,par102,par106,par110,par114,par213"
2016,avg,Quantile70_Group,Low importance & Low interaction,66,"par42,par43,par44,par45,par46,par47,par56,par57,par58,par59,par60,par62,par63,par64,par65,par75,par76,par78,par80,par81,par86,par87,par88,par96,par98,par99,par100,par101,par104,par108,par111,par116,par117,par158,par159,par161,par162,par164,par165,par167,par168,par169,par170,par171,par173,par174,par176,par177,par179,par180,par182,par183,par184,par185,par186,par188,par189,par191,par192,par194,par195,par214,par216,par217,par222,par229"
2016,avg,Cluster,0,17,"par72,par77,par92,par94,par112,par118,par119,par163,par172,par178,par187,par193,par215,par218,par219,par220,par224"
2016,avg,Cluster,1,5,"par90,par95,par181,par221,par225"
2016,avg,Cluster,2,84,"par42,par43,par44,par45,par46,par47,par56,par57,par58,par59,par60,par62,par63,par64,par65,par74,par75,par76,par78,par80,par81,par82,par83,par84,par86,par87,par88,par89,par96,par98,par99,par100,par101,par102,par104,par106,par107,par108,par110,par111,par113,par114,par116,par117,par157,par158,par159,par160,par161,par162,par164,par165,par166,par167,par168,par169,par170,par171,par173,par174,par175,par176,par177,par179,par180,par182,par183,par184,par185,par186,par188,par189,par190,par191,par192,par194,par195,par213,par214,par216,par217,par222,par223,par229"
2017,avg,Quadrant_Group,High importance & High interaction,51,"par47,par72,par74,par76,par77,par78,par82,par83,par84,par86,par88,par89,par90,par92,par94,par95,par96,par100,par101,par102,par104,par106,par107,par108,par112,par113,par114,par116,par118,par119,par157,par163,par172,par175,par178,par181,par184,par187,par190,par193,par213,par214,par215,par216,par218,par219,par220,par221,par223,par224,par225"
2017,avg,Quadrant_Group,High importance & Low interaction,3,"par160,par166,par169"
2017,avg,Quadrant_Group,Low importance & High interaction,3,"par80,par110,par217"
2017,avg,Quadrant_Group,Low importance & Low interaction,51,"par42,par43,par44,par45,par46,par56,par57,par58,par59,par60,par62,par63,par64,par65,par75,par81,par87,par98,par99,par105,par109,par111,par117,par158,par159,par161,par162,par164,par165,par167,par168,par170,par171,par173,par174,par176,par177,par179,par180,par182,par183,par185,par186,par188,par189,par191,par192,par194,par195,par222,par229"
2017,avg,Quantile70_Group,High importance & High interaction,25,"par72,par74,par77,par83,par89,par90,par92,par94,par95,par102,par106,par107,par112,par118,par119,par172,par181,par187,par193,par215,par218,par220,par221,par224,par225"
2017,avg,Quantile70_Group,High importance & Low interaction,8,"par116,par157,par160,par163,par166,par175,par178,par190"
2017,avg,Quantile70_Group,Low importance & High interaction,8,"par82,par84,par108,par114,par213,par214,par216,par219"
2017,avg,Quantile70_Group,Low importance & Low interaction,67,"par42,par43,par44,par45,par46,par47,par56,par57,par58,par59,par60,par62,par63,par64,par65,par75,par76,par78,par80,par81,par86,par87,par88,par96,par98,par99,par100,par101,par104,par105,par109,par110,par111,par113,par117,par158,par159,par161,par162,par164,par165,par167,par168,par169,par170,par171,par173,par174,par176,par177,par179,par180,par182,par183,par184,par185,par186,par188,par189,par191,par192,par194,par195,par217,par222,par223,par229"
2017,avg,Cluster,0,68,"par42,par43,par44,par45,par46,par47,par56,par57,par58,par59,par60,par62,par63,par64,par65,par75,par76,par78,par80,par81,par86,par87,par88,par96,par98,par99,par100,par101,par104,par105,par108,par109,par110,par111,par117,par158,par159,par161,par162,par164,par165,par166,par167,par168,par169,par170,par171,par173,par174,par176,par177,par179,par180,par182,par183,par184,par185,par186,par188,par189,par191,par192,par194,par195,par217,par222,par223,par229"
2017,avg,Cluster,1,12,"par72,par77,par90,par94,par95,par118,par119,par181,par193,par218,par221,par225"
2017,avg,Cluster,2,28,"par74,par82,par83,par84,par89,par92,par102,par106,par107,par112,par113,par114,par116,par157,par160,par163,par172,par175,par178,par187,par190,par213,par214,par215,par216,par219,par220,par224"
2018,avg,Quadrant_Group,High importance & High interaction,50,"par47,par72,par76,par77,par78,par82,par83,par84,par89,par90,par92,par94,par95,par96,par100,par101,par102,par106,par107,par108,par112,par113,par114,par116,par118,par119,par157,par160,par163,par172,par173,par175,par178,par181,par182,par184,par187,par190,par193,par213,par214,par215,par216,par218,par219,par220,par221,par223,par224,par225"
2018,avg,Quadrant_Group,High importance & Low interaction,4,"par164,par166,par169,par194"
2018,avg,Quadrant_Group,Low importance & High interaction,4,"par86,par88,par110,par217"
2018,avg,Quadrant_Group,Low importance & Low interaction,50,"par42,par43,par44,par45,par46,par56,par57,par58,par59,par60,par62,par63,par64,par65,par74,par75,par80,par81,par87,par98,par99,par104,par105,par109,par111,par117,par158,par159,par161,par162,par165,par167,par168,par170,par171,par174,par176,par177,par179,par180,par183,par185,par186,par188,par189,par191,par192,par195,par222,par229"
2018,avg,Quantile70_Group,High importance & High interaction,26,"par72,par77,par83,par89,par90,par92,par94,par95,par102,par106,par107,par112,par114,par118,par119,par172,par178,par181,par187,par193,par215,par218,par220,par221,par224,par225"
2018,avg,Quantile70_Group,High importance & Low interaction,7,"par157,par160,par163,par166,par175,par190,par219"
2018,avg,Quantile70_Group,Low importance & High interaction,7,"par78,par82,par84,par108,par116,par213,par223"
2018,avg,Quantile70_Group,Low importance & Low interaction,68,"par42,par43,par44,par45,par46,par47,par56,par57,par58,par59,par60,par62,par63,par64,par65,par74,par75,par76,par80,par81,par86,par87,par88,par96,par98,par99,par100,par101,par104,par105,par109,par110,par111,par113,par117,par158,par159,par161,par162,par164,par165,par167,par168,par169,par170,par171,par173,par174,par176,par177,par179,par180,par182,par183,par184,par185,par186,par188,par189,par191,par192,par194,par195,par214,par216,par217,par222,par229"
2018,avg,Cluster,0,84,"par42,par43,par44,par45,par46,par47,par56,par57,par58,par59,par60,par62,par63,par64,par65,par74,par75,par76,par78,par80,par81,par82,par83,par84,par86,par87,par88,par92,par96,par98,par99,par100,par101,par104,par105,par108,par109,par110,par111,par113,par116,par117,par157,par158,par159,par160,par161,par162,par164,par165,par166,par167,par168,par169,par170,par171,par173,par174,par175,par176,par177,par179,par180,par182,par183,par184,par185,par186,par188,par189,par190,par191,par192,par194,par195,par213,par214,par216,par217,par219,par222,par223,par224,par229"
2018,avg,Cluster,1,8,"par77,par90,par95,par118,par119,par181,par221,par225"
2018,avg,Cluster,2,16,"par72,par89,par94,par102,par106,par107,par112,par114,par163,par172,par178,par187,par193,par215,par218,par220"
2019,avg,Quadrant_Group,High importance & High interaction,48,"par47,par72,par74,par76,par77,par82,par83,par84,par86,par89,par90,par92,par94,par95,par98,par102,par104,par106,par107,par110,par112,par113,par114,par116,par118,par119,par160,par163,par166,par172,par175,par178,par181,par182,par184,par187,par190,par193,par213,par214,par215,par216,par217,par218,par219,par220,par221,par225"
2019,avg,Quadrant_Group,High importance & Low interaction,6,"par101,par157,par164,par194,par223,par224"
2019,avg,Quadrant_Group,Low importance & High interaction,6,"par78,par80,par88,par96,par100,par108"
2019,avg,Quadrant_Group,Low importance & Low interaction,48,"par42,par43,par44,par45,par46,par56,par57,par58,par59,par60,par62,par63,par64,par65,par75,par81,par87,par99,par105,par109,par111,par117,par158,par159,par161,par162,par165,par167,par168,par169,par170,par171,par173,par174,par176,par177,par179,par180,par183,par185,par186,par188,par189,par191,par192,par195,par222,par229"
2019,avg,Quantile70_Group,High importance & High interaction,27,"par72,par74,par77,par83,par86,par89,par90,par92,par94,par95,par102,par106,par107,par110,par114,par116,par118,par119,par172,par178,par181,par187,par193,par215,par218,par220,par221"
2019,avg,Quantile70_Group,High importance & Low interaction,6,"par113,par163,par175,par182,par190,par219"
2019,avg,Quantile70_Group,Low importance & High interaction,6,"par82,par84,par112,par213,par214,par225"
2019,avg,Quantile70_Group,Low importance & Low interaction,69,"par42,par43,par44,par45,par46,par47,par56,par57,par58,par59,par60,par62,par63,par64,par65,par75,par76,par78,par80,par81,par87,par88,par96,par98,par99,par100,par101,par104,par105,par108,par109,par111,par117,par157,par158,par159,par160,par161,par162,par164,par165,par166,par167,par168,par169,par170,par171,par173,par174,par176,par177,par179,par180,par183,par184,par185,par186,par188,par189,par191,par192,par194,par195,par216,par217,par222,par223,par224,par229"
2019,avg,Cluster,0,81,"par42,par43,par44,par45,par46,par47,par56,par57,par58,par59,par60,par62,par63,par64,par65,par75,par76,par78,par80,par81,par82,par84,par86,par87,par88,par96,par98,par99,par100,par101,par104,par105,par106,par108,par109,par111,par112,par113,par117,par157,par158,par159,par160,par161,par162,par164,par165,par166,par167,par168,par169,par170,par171,par173,par174,par175,par176,par177,par179,par180,par182,par183,par184,par185,par186,par188,par189,par190,par191,par192,par194,par195,par213,par214,par216,par217,par222,par223,par224,par225,par229"
2019,avg,Cluster,1,6,"par77,par92,par95,par119,par181,par193"
2019,avg,Cluster,2,21,"par72,par74,par83,par89,par90,par94,par102,par107,par110,par114,par116,par118,par163,par172,par178,par187,par215,par218,par219,par220,par221"
2020,avg,Quadrant_Group,High importance & High interaction,50,"par47,par74,par77,par80,par82,par83,par84,par86,par89,par90,par92,par95,par96,par102,par104,par106,par107,par110,par113,par114,par116,par118,par119,par157,par160,par163,par166,par169,par172,par173,par175,par178,par181,par182,par184,par187,par190,par193,par213,par214,par215,par216,par217,par218,par219,par220,par221,par223,par224,par225"
2020,avg,Quadrant_Group,High importance & Low interaction,3,"par101,par164,par194"
2020,avg,Quadrant_Group,Low importance & High interaction,3,"par72,par100,par112"
2020,avg,Quadrant_Group,Low importance & Low interaction,50,"par42,par43,par44,par46,par55,par56,par57,par58,par59,par60,par61,par62,par63,par64,par65,par75,par76,par78,par81,par87,par88,par94,par98,par99,par109,par117,par158,par159,par161,par162,par165,par167,par168,par170,par171,par174,par176,par177,par179,par180,par183,par185,par186,par188,par189,par191,par192,par195,par222,par229"
2020,avg,Quantile70_Group,High importance & High interaction,25,"par74,par77,par89,par90,par92,par95,par107,par113,par114,par116,par118,par119,par163,par172,par178,par181,par187,par193,par215,par216,par218,par220,par221,par224,par225"
2020,avg,Quantile70_Group,High importance & Low interaction,7,"par83,par86,par157,par160,par166,par182,par190"
2020,avg,Quantile70_Group,Low importance & High interaction,7,"par84,par96,par102,par213,par214,par219,par223"
2020,avg,Quantile70_Group,Low importance & Low interaction,67,"par42,par43,par44,par46,par47,par55,par56,par57,par58,par59,par60,par61,par62,par63,par64,par65,par72,par75,par76,par78,par80,par81,par82,par87,par88,par94,par98,par99,par100,par101,par104,par106,par109,par110,par112,par117,par158,par159,par161,par162,par164,par165,par167,par168,par169,par170,par171,par173,par174,par175,par176,par177,par179,par180,par183,par184,par185,par186,par188,par189,par191,par192,par194,par195,par217,par222,par229"
2020,avg,Cluster,0,78,"par42,par43,par44,par46,par47,par55,par56,par57,par58,par59,par60,par61,par62,par63,par64,par65,par72,par75,par76,par78,par80,par81,par82,par83,par84,par86,par87,par88,par94,par96,par98,par99,par100,par101,par102,par104,par106,par109,par110,par112,par117,par158,par159,par161,par162,par164,par165,par166,par167,par168,par169,par170,par171,par173,par174,par175,par176,par177,par179,par180,par182,par183,par184,par185,par186,par188,par189,par191,par192,par194,par195,par213,par214,par217,par219,par222,par223,par229"
2020,avg,Cluster,1,9,"par77,par90,par95,par119,par172,par181,par193,par221,par225"
2020,avg,Cluster,2,19,"par74,par89,par92,par107,par113,par114,par116,par118,par157,par160,par163,par178,par187,par190,par215,par216,par218,par220,par224"
2011,max,Quadrant_Group,High importance & High interaction,46,"par47,par72,par74,par77,par83,par84,par88,par89,par90,par92,par95,par100,par106,par107,par110,par112,par116,par117,par118,par119,par157,par160,par163,par164,par172,par175,par178,par181,par182,par184,par187,par190,par193,par194,par213,par214,par215,par216,par218,par219,par220,par221,par222,par223,par224,par225"
2011,max,Quadrant_Group,High importance & Low interaction,5,"par86,par104,par113,par166,par169"
2011,max,Quadrant_Group,Low importance & High interaction,5,"par78,par82,par102,par108,par191"
2011,max,Quadrant_Group,Low importance & Low interaction,45,"par42,par44,par46,par56,par58,par59,par60,par62,par63,par64,par65,par75,par76,par80,par81,par87,par94,par96,par98,par101,par114,par158,par159,par161,par162,par165,par167,par168,par170,par171,par173,par174,par176,par177,par179,par180,par183,par185,par186,par188,par189,par192,par195,par217,par229"
2011,max,Quantile70_Group,High importance & High interaction,27,"par74,par77,par90,par92,par95,par116,par118,par119,par163,par172,par175,par178,par181,par182,par187,par190,par193,par194,par215,par218,par219,par220,par221,par222,par223,par224,par225"
2011,max,Quantile70_Group,High importance & Low interaction,4,"par157,par160,par166,par184"
2011,max,Quantile70_Group,Low importance & High interaction,4,"par72,par84,par106,par216"
2011,max,Quantile70_Group,Low importance & Low interaction,66,"par42,par44,par46,par47,par56,par58,par59,par60,par62,par63,par64,par65,par75,par76,par78,par80,par81,par82,par83,par86,par87,par88,par89,par94,par96,par98,par100,par101,par102,par104,par107,par108,par110,par112,par113,par114,par117,par158,par159,par161,par162,par164,par165,par167,par168,par169,par170,par171,par173,par174,par176,par177,par179,par180,par183,par185,par186,par188,par189,par191,par192,par195,par213,par214,par217,par229"
2011,max,Cluster,0,94,"par42,par44,par46,par47,par56,par58,par59,par60,par62,par63,par64,par65,par72,par74,par75,par76,par77,par78,par80,par81,par82,par83,par84,par86,par87,par88,par89,par90,par92,par94,par95,par96,par98,par100,par101,par102,par104,par106,par107,par108,par110,par112,par113,par114,par116,par117,par118,par119,par157,par158,par159,par160,par161,par162,par163,par164,par165,par166,par167,par168,par169,par170,par171,par172,par173,par174,par175,par176,par177,par178,par179,par180,par181,par182,par183,par184,par185,par186,par187,par188,par189,par190,par191,par192,par194,par195,par213,par214,par215,par216,par217,par218,par222,par229"
2011,max,Cluster,1,2,"par221,par225"
2011,max,Cluster,2,5,"par193,par219,par220,par223,par224"
2012,max,Quadrant_Group,High importance & High interaction,43,"par72,par74,par77,par82,par83,par88,par89,par90,par92,par94,par95,par100,par106,par107,par112,par113,par116,par118,par119,par157,par163,par172,par173,par175,par178,par181,par182,par187,par190,par193,par194,par213,par214,par215,par216,par218,par219,par220,par221,par222,par223,par224,par225"
2012,max,Quadrant_Group,High importance & Low interaction,5,"par76,par86,par101,par160,par166"
2012,max,Quadrant_Group,Low importance & High interaction,5,"par84,par98,par102,par108,par117"
